,pge_ecr,sce_ecr,sdge_ecr
799,0.0573,0.056,0.0579
800,0.0609,0.0568,0.0585
801,0.0495,0.0551,0.0556
802,0.0339,0.0505,0.0513
803,0.0283,0.0491,0.05
804,0.0296,0.048,0.0488
805,0.0287,0.0447,0.0456
806,0.0301,0.0454,0.0466
807,0.0321,0.0482,0.0493
808,0.0426,0.0542,0.0554
809,0.0628,0.0583,0.0595
810,0.0615,0.0618,0.0615
811,0.0631,0.0687,0.063
812,0.0631,0.0673,0.0615
813,0.062,0.0646,0.0604
814,0.0605,0.0595,0.0577
815,0.0586,0.0545,0.0551
816,0.0577,0.0519,0.0535
817,0.0559,0.0495,0.0513
818,0.0559,0.0482,0.0501
819,0.055,0.0468,0.0486
820,0.0547,0.0465,0.0483
821,0.0555,0.0468,0.0486
822,0.0566,0.0489,0.0508
823,0.0573,0.056,0.0579
824,0.0609,0.0568,0.0585
825,0.0495,0.0551,0.0556
826,0.0339,0.0505,0.0513
827,0.0283,0.0491,0.05
828,0.0296,0.048,0.0488
829,0.0287,0.0447,0.0456
830,0.0301,0.0454,0.0466
831,0.0321,0.0482,0.0493
832,0.0426,0.0542,0.0554
833,0.0628,0.0583,0.0595
834,0.0615,0.0618,0.0615
835,0.0631,0.0687,0.063
836,0.0631,0.0673,0.0615
837,0.062,0.0646,0.0604
838,0.0605,0.0595,0.0577
839,0.0586,0.0545,0.0551
840,0.0577,0.0519,0.0535
841,0.0559,0.0495,0.0513
842,0.0559,0.0482,0.0501
843,0.055,0.0468,0.0486
844,0.0547,0.0465,0.0483
845,0.0555,0.0468,0.0486
846,0.0566,0.0489,0.0508
847,0.0573,0.056,0.0579
848,0.0609,0.0568,0.0585
849,0.0495,0.0551,0.0556
850,0.0339,0.0505,0.0513
851,0.0283,0.0491,0.05
852,0.0296,0.048,0.0488
853,0.0287,0.0447,0.0456
854,0.0301,0.0454,0.0466
855,0.0321,0.0482,0.0493
856,0.0426,0.0542,0.0554
857,0.0628,0.0583,0.0595
858,0.0615,0.0618,0.0615
859,0.0631,0.0687,0.063
860,0.0631,0.0673,0.0615
861,0.062,0.0646,0.0604
862,0.0605,0.0595,0.0577
863,0.0586,0.0545,0.0551
864,0.0577,0.0519,0.0535
865,0.0559,0.0495,0.0513
866,0.0559,0.0482,0.0501
867,0.055,0.0468,0.0486
868,0.0547,0.0465,0.0483
869,0.0555,0.0468,0.0486
870,0.0566,0.0489,0.0508
871,0.0573,0.056,0.0579
872,0.0609,0.0568,0.0585
873,0.0495,0.0551,0.0556
874,0.0339,0.0505,0.0513
875,0.0283,0.0491,0.05
876,0.0296,0.048,0.0488
877,0.0287,0.0447,0.0456
878,0.0301,0.0454,0.0466
879,0.0321,0.0482,0.0493
880,0.0426,0.0542,0.0554
881,0.0628,0.0583,0.0595
882,0.0615,0.0618,0.0615
883,0.0631,0.0687,0.063
884,0.0631,0.0673,0.0615
885,0.062,0.0646,0.0604
886,0.0605,0.0595,0.0577
887,0.0586,0.0545,0.0551
888,0.0577,0.0519,0.0535
889,0.0559,0.0495,0.0513
890,0.0559,0.0482,0.0501
891,0.055,0.0468,0.0486
892,0.0547,0.0465,0.0483
893,0.0555,0.0468,0.0486
894,0.0566,0.0489,0.0508
895,0.0573,0.056,0.0579
896,0.0609,0.0568,0.0585
897,0.0495,0.0551,0.0556
898,0.0339,0.0505,0.0513
899,0.0283,0.0491,0.05
900,0.0296,0.048,0.0488
901,0.0287,0.0447,0.0456
902,0.0301,0.0454,0.0466
903,0.0321,0.0482,0.0493
904,0.0426,0.0542,0.0554
905,0.0628,0.0583,0.0595
906,0.0615,0.0618,0.0615
907,0.0631,0.0687,0.063
908,0.0631,0.0673,0.0615
909,0.062,0.0646,0.0604
910,0.0605,0.0595,0.0577
911,0.0586,0.0545,0.0551
912,0.0577,0.0519,0.0535
913,0.0559,0.0495,0.0513
914,0.0559,0.0482,0.0501
915,0.055,0.0468,0.0486
916,0.0547,0.0465,0.0483
917,0.0555,0.0468,0.0486
918,0.0566,0.0489,0.0508
919,0.0573,0.056,0.0579
920,0.0609,0.0568,0.0585
921,0.0495,0.0551,0.0556
922,0.0339,0.0505,0.0513
923,0.0283,0.0491,0.05
924,0.0296,0.048,0.0488
925,0.0287,0.0447,0.0456
926,0.0301,0.0454,0.0466
927,0.0321,0.0482,0.0493
928,0.0426,0.0542,0.0554
929,0.0628,0.0583,0.0595
930,0.0615,0.0618,0.0615
931,0.0631,0.0687,0.063
932,0.0631,0.0673,0.0615
933,0.062,0.0646,0.0604
934,0.0605,0.0595,0.0577
935,0.0586,0.0545,0.0551
936,0.0577,0.0519,0.0535
